Name,Symbol,Country
McDonalds,MCD,United States
Chipotle Mexican Grill,CMG,United States
Yum! Brands,YUM,United States
Restaurant Brands International,QSR,Canada
Darden Restaurants,DRI,United States
Domino's Pizza,DPZ,United States
Texas Roadhouse,TXRH,United States
Wingstop Restaurants,WING,United States
Wendy's Company,WEN,United States
Papa John's Pizza,PZZA,United States
Shake Shack,SHAK,United States
Bloomin' Brands,BLMN,United States
Jack in the Box,JACK,United States
The Cheesecake Factory,CAKE,United States
Dave & Buster's,PLAY,United States
Brinker International,EAT,United States
Portillo's,PTLO,United States
MTY Food Group,MTY.TO,Canada
Dine Brands Global,DIN,United States
First Watch Restaurant,FWRG,United States
Sweetgreen,SG,United States
BJ's Restaurants,BJRI,United States
Kura Sushi USA,KRUS,United States
Chuy's,CHUY,United States
Denny's,DENN,United States
Ruth's Hospitality Group,RUTH,United States
Biglari,BH,United States
Pizza Pizza,PZA.TO,Canada
El Pollo Loco,LOCO,United States
Nathan's Famous,NATH,United States
The ONE Group Hospitality,STKS,United States
Potbelly Corporation,PBPB,United States
Red Robin,RRGB,United States
Noodles & Company,NDLS,United States
Fiesta Restaurant Group,FRGI,United States
Carrols Restaurant Group,TAST,United States
Rave Restaurant Group,RAVE,United States
